HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Alabama,1104,4,Utah St,1429,9,0.600127206080436
Alabama,1104,4,Vanderbilt,1435,5,0.46733253500423805
Alabama,1104,4,VCU,1433,11,0.7336156327215774
Alabama,1104,4,Villanova,1437,8,0.638509215432346
Virginia,1438,3,Alabama,1104,4,0.485764158026582
Alabama,1104,4,Wisconsin,1458,5,0.5510163476497448
Alabama,1104,4,Wright St,1460,14,0.934552085237257
Arizona,1112,1,Arkansas,1116,4,0.7061626663725524
Arizona,1112,1,BYU,1140,6,0.735730254586936
Arizona,1112,1,Cal Baptist,1465,13,0.9640871979196335
Arizona,1112,1,Clemson,1155,8,0.8110505707116747
Arizona,1112,1,Connecticut,1163,2,0.6640434946763174
Duke,1181,1,Arizona,1112,1,0.5680682924922198
Arizona,1112,1,Florida,1196,1,0.5551105928579417
Arizona,1112,1,Furman,1202,15,0.982393186203133
Arizona,1112,1,Georgia,1208,8,0.7919762574970609
Arizona,1112,1,Gonzaga,1211,3,0.6208028593771412
Arizona,1112,1,Hawaii,1218,13,0.9541329425657818
Arizona,1112,1,High Point,1219,12,0.941964368832769
Arizona,1112,1,Hofstra,1220,13,0.9528039052045459
Arizona,1112,1,Houston,1222,2,0.5534551296455351
Arizona,1112,1,Howard,1224,16,0.9858885690617317
Arizona,1112,1,Idaho,1225,15,0.9747789234059977
Arizona,1112,1,Illinois,1228,3,0.5502477337678627
Arizona,1112,1,Iowa,1234,9,0.7606350232611887
Arizona,1112,1,Iowa St,1235,2,0.5594256935297479
Arizona,1112,1,Kansas,1242,4,0.7260065505684711
Arizona,1112,1,Kennesaw,1244,14,0.9744007548462802
Arizona,1112,1,Kentucky,1246,7,0.7646997187151406
Arizona,1112,1,Lehigh,1250,16,0.9923846816036979
Arizona,1112,1,LIU Brooklyn,1254,16,0.986403109756501
Arizona,1112,1,Louisville,1257,6,0.6808827440309088
Arizona,1112,1,McNeese St,1270,12,0.9294063220279973
Arizona,1112,1,Miami FL,1274,7,0.8063268199287248
Arizona,1112,1,Miami OH,1275,11,0.952955650455222
Arizona,1112,1,Michigan,1276,1,0.4094488310497026
Arizona,1112,1,Michigan St,1277,3,0.6463492844034426
Arizona,1112,1,Missouri,1281,10,0.8867044308871335
Arizona,1112,1,N Dakota St,1295,14,0.9646251998498078
Arizona,1112,1,NC State,1301,11,0.7988731805767434
Arizona,1112,1,Nebraska,1304,4,0.7074530875017876
Arizona,1112,1,North Carolina,1314,6,0.774719711883838
Arizona,1112,1,Northern Iowa,1320,12,0.9227083001903339
Arizona,1112,1,Ohio St,1326,8,0.7724967094274043
Arizona,1112,1,Penn,1335,14,0.9760218805833867
Arizona,1112,1,Prairie View,1341,16,0.994064453491992
Arizona,1112,1,Purdue,1345,2,0.579000556952476
Arizona,1112,1,Queens NC,1474,15,0.9827975901401239
Arizona,1112,1,Santa Clara,1365,10,0.8364406202287826
Arizona,1112,1,Siena,1373,16,0.9846927492444865
Arizona,1112,1,SMU,1374,11,0.8292253355153769
Arizona,1112,1,South Florida,1378,11,0.8784433183412895
Arizona,1112,1,St John's,1385,5,0.707055229199532
Arizona,1112,1,St Louis,1387,9,0.8213246823729624
Arizona,1112,1,St Mary's CA,1388,7,0.780038871374464
Arizona,1112,1,TCU,1395,9,0.8420629374080869
Arizona,1112,1,Tennessee,1397,6,0.7000866066728929
Arizona,1112,1,Tennessee St,1398,15,0.9849120509053434
Arizona,1112,1,Texas,1400,11,0.8399533717695373
Arizona,1112,1,Texas A&M,1401,10,0.8422718677051303
Arizona,1112,1,Texas Tech,1403,5,0.7075460346666556
Arizona,1112,1,Troy,1407,13,0.9758825678051687
Arizona,1112,1,UCF,1416,10,0.8824857480524773
Arizona,1112,1,UCLA,1417,7,0.7870364414458655
Arizona,1112,1,UMBC,1420,16,0.9851375257924135
Arizona,1112,1,Utah St,1429,9,0.7958155722858561
Arizona,1112,1,Vanderbilt,1435,5,0.6949771754929184
Arizona,1112,1,VCU,1433,11,0.8773308884079793
Arizona,1112,1,Villanova,1437,8,0.8210162996882895
Arizona,1112,1,Virginia,1438,3,0.7032140542611103
Arizona,1112,1,Wisconsin,1458,5,0.7611739884141039
Arizona,1112,1,Wright St,1460,14,0.9737416347244036
Arkansas,1116,4,BYU,1140,6,0.518178307112872
Arkansas,1116,4,Cal Baptist,1465,13,0.9120510951842745
Arkansas,1116,4,Clemson,1155,8,0.6237986383573209
Connecticut,1163,2,Arkansas,1116,4,0.5302442116431842
Duke,1181,1,Arkansas,1116,4,0.7729636817961036
Florida,1196,1,Arkansas,1116,4,0.6413317558426327
Arkansas,1116,4,Furman,1202,15,0.9556618108573778
Arkansas,1116,4,Georgia,1208,8,0.59525467085797
Gonzaga,1211,3,Arkansas,1116,4,0.5767713457250777
Arkansas,1116,4,Hawaii,1218,13,0.8893292494652969
Arkansas,1116,4,High Point,1219,12,0.8624467606364176
Arkansas,1116,4,Hofstra,1220,13,0.8863461413356339
Houston,1222,2,Arkansas,1116,4,0.6428716544231925
Arkansas,1116,4,Howard,1224,16,0.9642710191572331
Arkansas,1116,4,Idaho,1225,15,0.9372259585280146
Illinois,1228,3,Arkansas,1116,4,0.6458436523811822
Arkansas,1116,4,Iowa,1234,9,0.5510752872195311
Iowa St,1235,2,Arkansas,1116,4,0.6372987555971084
Kansas,1242,4,Arkansas,1116,4,0.4571145873009092
Arkansas,1116,4,Kennesaw,1244,14,0.9363214987213752
Arkansas,1116,4,Kentucky,1246,7,0.5566242538726851
Arkansas,1116,4,Lehigh,1250,16,0.9805220314291643
Arkansas,1116,4,LIU Brooklyn,1254,16,0.9655462474799194
Arkansas,1116,4,Louisville,1257,6,0.4518208461746847
Arkansas,1116,4,McNeese St,1270,12,0.8356837753092361
Arkansas,1116,4,Miami FL,1274,7,0.6166064882930972
Arkansas,1116,4,Miami OH,1275,11,0.8866861503750272
Michigan,1276,1,Arkansas,1116,4,0.7629162866576482
Michigan St,1277,3,Arkansas,1116,4,0.5497004254263604
Arkansas,1116,4,Missouri,1281,10,0.7514505769592236
Arkansas,1116,4,N Dakota St,1295,14,0.9132985336582569
Arkansas,1116,4,NC State,1301,11,0.6054243289071166
Nebraska,1304,4,Arkansas,1116,4,0.47987197925318886
Arkansas,1116,4,North Carolina,1314,6,0.5705285722665028
Arkansas,1116,4,Northern Iowa,1320,12,0.8217982604337218
Arkansas,1116,4,Ohio St,1326,8,0.5674157396660255
Arkansas,1116,4,Penn,1335,14,0.9402060949397798
Arkansas,1116,4,Prairie View,1341,16,0.9847783079282929
Purdue,1345,2,Arkansas,1116,4,0.6186492073273817
Arkansas,1116,4,Queens NC,1474,15,0.9566531059546989
Arkansas,1116,4,Santa Clara,1365,10,0.6639242575973642
Arkansas,1116,4,Siena,1373,16,0.9613151828358438
Arkansas,1116,4,SMU,1374,11,0.6522624730211023
Arkansas,1116,4,South Florida,1378,11,0.7362606317219776
Arkansas,1116,4,St John's,1385,5,0.4825013422068689
Arkansas,1116,4,St Louis,1387,9,0.6397318061276286
Arkansas,1116,4,St Mary's CA,1388,7,0.5780430365417235
Arkansas,1116,4,TCU,1395,9,0.6731595470331789
Arkansas,1116,4,Tennessee,1397,6,0.474163630237349
Arkansas,1116,4,Tennessee St,1398,15,0.9618564330427508
Arkansas,1116,4,Texas,1400,11,0.6696789299509038
Arkansas,1116,4,Texas A&M,1401,10,0.6735052808645426
Arkansas,1116,4,Texas Tech,1403,5,0.48309332516558684
Arkansas,1116,4,Troy,1407,13,0.9398715120885327
Arkansas,1116,4,UCF,1416,10,0.7436515842028922
Arkansas,1116,4,UCLA,1417,7,0.5880731532601445
Arkansas,1116,4,UMBC,1420,16,0.9624133033046659
Arkansas,1116,4,Utah St,1429,9,0.6008950573083992
Arkansas,1116,4,Vanderbilt,1435,5,0.4681293888485192
Arkansas,1116,4,VCU,1433,11,0.7342406668965037
Arkansas,1116,4,Villanova,1437,8,0.639247668633508
Virginia,1438,3,Arkansas,1116,4,0.4849646568739653
Arkansas,1116,4,Wisconsin,1458,5,0.5518080741353683
Arkansas,1116,4,Wright St,1460,14,0.9347475852365896
BYU,1140,6,Cal Baptist,1465,13,0.8995167004305263
BYU,1140,6,Clemson,1155,8,0.5887085541134387
Connecticut,1163,2,BYU,1140,6,0.5666506185452723
Duke,1181,1,BYU,1140,6,0.7977347159927809
Florida,1196,1,BYU,1140,6,0.6744151897808416
BYU,1140,6,Furman,1202,15,0.9489951914078153
BYU,1140,6,Georgia,1208,8,0.5593827512461725
Gonzaga,1211,3,BYU,1140,6,0.6122090102000189
BYU,1140,6,Hawaii,1218,13,0.8740039159298858
BYU,1140,6,High Point,1219,12,0.8440516026249397
BYU,1140,6,Hofstra,1220,13,0.8706677909786283
Houston,1222,2,BYU,1140,6,0.6758848324424936
BYU,1140,6,Howard,1224,16,0.958843118562783
BYU,1140,6,Idaho,1225,15,0.9279962073594723
Illinois,1228,3,BYU,1140,6,0.6787193973464674
BYU,1140,6,Iowa,1234,9,0.5144815299533648
Iowa St,1235,2,BYU,1140,6,0.6705631032015387
Kansas,1242,4,BYU,1140,6,0.4937777567505275
BYU,1140,6,Kennesaw,1244,14,0.9269691260434517
BYU,1140,6,Kentucky,1246,7,0.5200889078174848
BYU,1140,6,Lehigh,1250,16,0.9775053703904137
BYU,1140,6,LIU Brooklyn,1254,16,0.9603041026482741
Louisville,1257,6,BYU,1140,6,0.5477869660142618
BYU,1140,6,McNeese St,1270,12,0.8144794584562336
BYU,1140,6,Miami FL,1274,7,0.581295841213614
BYU,1140,6,Miami OH,1275,11,0.8710478797821941
Michigan,1276,1,BYU,1140,6,0.7884835758350235
Michigan St,1277,3,BYU,1140,6,0.5857768998317174
BYU,1140,6,Missouri,1281,10,0.7229795915424674
BYU,1140,6,N Dakota St,1295,14,0.9009226097578785
BYU,1140,6,NC State,1301,11,0.5698023346240831
Nebraska,1304,4,BYU,1140,6,0.5166234458133737
North Carolina,1314,6,BYU,1140,6,0.42908351381703885
BYU,1140,6,Northern Iowa,1320,12,0.799232560478037
BYU,1140,6,Ohio St,1326,8,0.5310204122657382
BYU,1140,6,Penn,1335,14,0.9313824370115411
BYU,1140,6,Prairie View,1341,16,0.9824090138328241
Purdue,1345,2,BYU,1140,6,0.652691840766473
BYU,1140,6,Queens NC,1474,15,0.9501277577444046
BYU,1140,6,Santa Clara,1365,10,0.6303590850115771
BYU,1140,6,Siena,1373,16,0.9554589775066865
BYU,1140,6,SMU,1374,11,0.6182023721475457
BYU,1140,6,South Florida,1378,11,0.7067287303112255
St John's,1385,5,BYU,1140,6,0.5171032984862218
BYU,1140,6,St Louis,1387,9,0.6051872667902247
BYU,1140,6,St Mary's CA,1388,7,0.5418198406883191
BYU,1140,6,TCU,1395,9,0.6400166275175941
Tennessee,1397,6,BYU,1140,6,0.525441577341465
BYU,1140,6,Tennessee St,1398,15,0.9560784199668089
BYU,1140,6,Texas,1400,11,0.6363737171604447
BYU,1140,6,Texas A&M,1401,10,0.6403786907156246
Texas Tech,1403,5,BYU,1140,6,0.5165112836488994
BYU,1140,6,Troy,1407,13,0.9310021038214342
BYU,1140,6,UCF,1416,10,0.7146265020655772
BYU,1140,6,UCLA,1417,7,0.5520437323174457
BYU,1140,6,UMBC,1420,16,0.9567158492768385
BYU,1140,6,Utah St,1429,9,0.5651578530494004
Vanderbilt,1435,5,BYU,1140,6,0.5314763663307092
BYU,1140,6,VCU,1433,11,0.7045733389622307
BYU,1140,6,Villanova,1437,8,0.6046853932821691
Virginia,1438,3,BYU,1140,6,0.5217149334580036
Wisconsin,1458,5,BYU,1140,6,0.4478003745952435
BYU,1140,6,Wright St,1460,14,0.9251825249725517
Clemson,1155,8,Cal Baptist,1465,13,0.8530728779645286
Connecticut,1163,2,Cal Baptist,1465,13,0.926518023220951
Duke,1181,1,Cal Baptist,1465,13,0.9743790666451553
Florida,1196,1,Cal Baptist,1465,13,0.9523212968963116
Cal Baptist,1465,13,Furman,1202,15,0.6586511627349078
Georgia,1208,8,Cal Baptist,1465,13,0.867482438424977
Gonzaga,1211,3,Cal Baptist,1465,13,0.9383588014914446
Cal Baptist,1465,13,Hawaii,1218,13,0.4183961888317648
High Point,1219,12,Cal Baptist,1465,13,0.6055987839419538
Cal Baptist,1465,13,Hofstra,1220,13,0.4111245312972152
Houston,1222,2,Cal Baptist,1465,13,0.9526246309401503
Cal Baptist,1465,13,Howard,1224,16,0.7072658223577263
Cal Baptist,1465,13,Idaho,1225,15,0.5720240782504415
Illinois,1228,3,Cal Baptist,1465,13,0.9532065149158504
Iowa,1234,9,Cal Baptist,1465,13,0.886913568643824
Iowa St,1235,2,Cal Baptist,1465,13,0.9515208454529853
Kansas,1242,4,Cal Baptist,1465,13,0.9038978307036251
Cal Baptist,1465,13,Kennesaw,1244,14,0.5682815329484266
Kentucky,1246,7,Cal Baptist,1465,13,0.8846415751043266
Cal Baptist,1465,13,Lehigh,1250,16,0.8183981774363794
Cal Baptist,1465,13,LIU Brooklyn,1254,16,0.7150028733457359
Louisville,1257,6,Cal Baptist,1465,13,0.9211392648040684
McNeese St,1270,12,Cal Baptist,1465,13,0.6543360187605727
Miami FL,1274,7,Cal Baptist,1465,13,0.8568588799093484
Miami OH,1275,11,Cal Baptist,1465,13,0.5516356727492959
Michigan,1276,1,Cal Baptist,1465,13,0.9729330969706675
Michigan St,1277,3,Cal Baptist,1465,13,0.9316763161699172
Missouri,1281,10,Cal Baptist,1465,13,0.7610141562392364
Cal Baptist,1465,13,N Dakota St,1295,14,0.48533505532603893
NC State,1301,11,Cal Baptist,1465,13,0.8625333799909783
Nebraska,1304,4,Cal Baptist,1465,13,0.9115503206023445
North Carolina,1314,6,Cal Baptist,1465,13,0.8787454632273903
Northern Iowa,1320,12,Cal Baptist,1465,13,0.6761277102246184
Ohio St,1326,8,Cal Baptist,1465,13,0.8800914272183527
Cal Baptist,1465,13,Penn,1335,14,0.5846584769735853
Cal Baptist,1465,13,Prairie View,1341,16,0.8527615278333496
Purdue,1345,2,Cal Baptist,1465,13,0.9477022665660956
Cal Baptist,1465,13,Queens NC,1474,15,0.6639478326165053
Santa Clara,1365,10,Cal Baptist,1465,13,0.8297391718321874
Cal Baptist,1465,13,Siena,1373,16,0.6898860241639323
SMU,1374,11,Cal Baptist,1465,13,0.8369370159083106
South Florida,1378,11,Cal Baptist,1465,13,0.7752137016471172
St John's,1385,5,Cal Baptist,1465,13,0.9117051294186691
St Louis,1387,9,Cal Baptist,1465,13,0.8442782122194514
St Mary's CA,1388,7,Cal Baptist,1465,13,0.8754320704888243
TCU,1395,9,Cal Baptist,1465,13,0.8237699617522892
Tennessee,1397,6,Cal Baptist,1465,13,0.9143582047524995
Cal Baptist,1465,13,Tennessee St,1398,15,0.6930121717274845
Texas,1400,11,Cal Baptist,1465,13,0.8260486637313741
Texas A&M,1401,10,Cal Baptist,1465,13,0.8235416579123752
Texas Tech,1403,5,Cal Baptist,1465,13,0.9115141012532428
Cal Baptist,1465,13,Troy,1407,13,0.5832163174854456
UCF,1416,10,Cal Baptist,1465,13,0.7684493947773029
UCLA,1417,7,Cal Baptist,1465,13,0.870862435413458
Cal Baptist,1465,13,UMBC,1420,16,0.6962545247057481
Utah St,1429,9,Cal Baptist,1465,13,0.8647616872927614
Vanderbilt,1435,5,Cal Baptist,1465,13,0.9162357111420064
VCU,1433,11,Cal Baptist,1465,13,0.7770168188531444
Villanova,1437,8,Cal Baptist,1465,13,0.8445541038244491
Virginia,1438,3,Cal Baptist,1465,13,0.9131810390835845
Wisconsin,1458,5,Cal Baptist,1465,13,0.8866160947541303
Cal Baptist,1465,13,Wright St,1460,14,0.5618675434742133
Connecticut,1163,2,Clemson,1155,8,0.6684441168460746
Duke,1181,1,Clemson,1155,8,0.8587751436872703
Florida,1196,1,Clemson,1155,8,0.761547195624147
Clemson,1155,8,Furman,1202,15,0.9234749844569926
Clemson,1155,8,Georgia,1208,8,0.45157713779850644
Gonzaga,1211,3,Clemson,1155,8,0.7088004017394678
Clemson,1155,8,Hawaii,1218,13,0.8181518913506514
Clemson,1155,8,High Point,1219,12,0.7782902915193592
Clemson,1155,8,Hofstra,1220,13,0.8136522242292656
Houston,1222,2,Clemson,1155,8,0.7627618880800643
Clemson,1155,8,Howard,1224,16,0.9379280205309635
Clemson,1155,8,Idaho,1225,15,0.8931521473156502
Illinois,1228,3,Clemson,1155,8,0.7651007245731924
Clemson,1155,8,Iowa,1234,9,0.40732966578909074
Iowa St,1235,2,Clemson,1155,8,0.758356626401036
Kansas,1242,4,Clemson,1155,8,0.6006244197647045
Clemson,1155,8,Kennesaw,1244,14,0.8916860528339865
Kentucky,1246,7,Clemson,1155,8,0.5507995272632072
Clemson,1155,8,Lehigh,1250,16,0.9657351439821436
Clemson,1155,8,LIU Brooklyn,1254,16,0.9400850545013337
Louisville,1257,6,Clemson,1155,8,0.6512846614094226
Clemson,1155,8,McNeese St,1270,12,0.7400879646886996
Miami FL,1274,7,Clemson,1155,8,0.48905308208270715
Clemson,1155,8,Miami OH,1275,11,0.814164109366828
Michigan,1276,1,Clemson,1155,8,0.8517971816716645
Michigan St,1277,3,Clemson,1155,8,0.6855706343029909
Clemson,1155,8,Missouri,1281,10,0.6286272084309107
Clemson,1155,8,N Dakota St,1295,14,0.8550238729405497
Clemson,1155,8,NC State,1301,11,0.46209460297577276
Nebraska,1304,4,Clemson,1155,8,0.6223362031894193
North Carolina,1314,6,Clemson,1155,8,0.5367750769034453
Clemson,1155,8,Northern Iowa,1320,12,0.7208228647350722
Clemson,1155,8,Ohio St,1326,8,0.42342803886433517
Clemson,1155,8,Penn,1335,14,0.8979969226070019
Clemson,1155,8,Prairie View,1341,16,0.9731340803499313
Purdue,1345,2,Clemson,1155,8,0.7434256825955787
Clemson,1155,8,Queens NC,1474,15,0.9251295214697417
Clemson,1155,8,Santa Clara,1365,10,0.5251786357474858
Clemson,1155,8,Siena,1373,16,0.9329443960880198
Clemson,1155,8,SMU,1374,11,0.5122393982216086
Clemson,1155,8,South Florida,1378,11,0.6098284304240925
St John's,1385,5,Clemson,1155,8,0.6227877371671141
Clemson,1155,8,St Louis,1387,9,0.49854215139739294
St Mary's CA,1388,7,Clemson,1155,8,0.529124359849235
Clemson,1155,8,TCU,1395,9,0.5355594951652801
Tennessee,1397,6,Clemson,1155,8,0.6306047492151472
Clemson,1155,8,Tennessee St,1398,15,0.9338552776864014
Clemson,1155,8,Texas,1400,11,0.5316330829169573
Clemson,1155,8,Texas A&M,1401,10,0.5359504438833013
Texas Tech,1403,5,Clemson,1155,8,0.6222306338679441
Clemson,1155,8,Troy,1407,13,0.897451914782839
Clemson,1155,8,UCF,1416,10,0.6189286558869959
UCLA,1417,7,Clemson,1155,8,0.5188333074867397
Clemson,1155,8,UMBC,1420,16,0.9347932323834455
Clemson,1155,8,Utah St,1429,9,0.4573946189566892
Vanderbilt,1435,5,Clemson,1155,8,0.6362280663570692
Clemson,1155,8,VCU,1433,11,0.607356537004304
Clemson,1155,8,Villanova,1437,8,0.4980171597630127
Virginia,1438,3,Clemson,1155,8,0.6271178818170684
Wisconsin,1458,5,Clemson,1155,8,0.5556178168703354
Clemson,1155,8,Wright St,1460,14,0.8891395276744835
Duke,1181,1,Connecticut,1163,2,0.7368516664457705
Florida,1196,1,Connecticut,1163,2,0.5952460966476244
Connecticut,1163,2,Furman,1202,15,0.9632442052504349
Connecticut,1163,2,Georgia,1208,8,0.6413399420264232
Connecticut,1163,2,Gonzaga,1211,3,0.4346909564580542
Connecticut,1163,2,Hawaii,1218,13,0.9071532643581192
Connecticut,1163,2,High Point,1219,12,0.8840357679140893
Connecticut,1163,2,Hofstra,1220,13,0.904599060517239
Houston,1222,2,Connecticut,1163,2,0.5968594818074965
Connecticut,1163,2,Howard,1224,16,0.9704266897891021
Connecticut,1163,2,Idaho,1225,15,0.947788871669694
Connecticut,1163,2,Illinois,1228,3,0.3649315741275437
Connecticut,1163,2,Iowa,1234,9,0.5988004770593048
Connecticut,1163,2,Iowa St,1235,2,0.3735860659250004
Connecticut,1163,2,Kansas,1242,4,0.5544730010058637
Connecticut,1163,2,Kennesaw,1244,14,0.9470280023259753
Connecticut,1163,2,Kentucky,1246,7,0.6041832437952501
Connecticut,1163,2,Lehigh,1250,16,0.9839245261535456
Connecticut,1163,2,LIU Brooklyn,1254,16,0.9714887079343464
